powder,media,plating,test,mean_count,mean_spread_percent,mean_count_wNA,SPR,SPRs,temp_media,mean_count2,log_mean_count,log_mean_count_wNA,mean_spread_percent_wNA,SPRs_wNA,SPR_wNA
C,TSAwS,SpreadwOverlay,STSE,0,0,0,no,none,SpreadwOverlay,10,1,1,0,none,no
D,BHI,Pour,HHR.TSC,4960,0,4960,no,none,Pour,4960,3.695481676,3.695481676,0,none,no
D,BHI,Pour,SP.MSC,240,0,240,no,none,Pour,240,2.380211242,2.380211242,0,none,no
D,BHI,Pour,SP.TSC,11000,0,11000,no,none,Pour,11000,4.041392685,4.041392685,0,none,no
D,BHI,Pour,STSE,250,0,250,no,none,Pour,250,2.397940009,2.397940009,0,none,no
D,BHI,Spread,HHR.TSC,500,0,500,no,none,Spread,500,2.698970004,2.698970004,0,none,no
D,BHI,Spread,SP.MSC,160,0,160,no,none,Spread,160,2.204119983,2.204119983,0,none,no
D,BHI,Spread,SP.TSC,6920,37.5,6920,yes,yes,Spread,6920,3.840106094,3.840106094,37.5,yes,yes
D,BHI,Spread,STSE,40,0,40,no,none,Spread,40,1.602059991,1.602059991,0,none,no
D,BHI,SpreadwOverlay,HHR.TSC,2260,0,2260,no,none,SpreadwOverlay,2260,3.354108439,3.354108439,0,none,no
D,BHI,SpreadwOverlay,SP.MSC,220,0,220,no,none,SpreadwOverlay,220,2.342422681,2.342422681,0,none,no
D,BHI,SpreadwOverlay,SP.TSC,6000,0,6000,no,none,SpreadwOverlay,6000,3.77815125,3.77815125,0,none,no
D,BHI,SpreadwOverlay,STSE,180,0,180,no,none,SpreadwOverlay,180,2.255272505,2.255272505,0,none,no
D,PCMA,Pour,HHR.TSC,2100,0,2100,no,none,Pour,2100,3.322219295,3.322219295,0,none,no
D,PCMA,Pour,SP.MSC,80,0,80,no,none,Pour,80,1.903089987,1.903089987,0,none,no
D,PCMA,Pour,SP.TSC,88000,0,88000,no,none,Pour,88000,4.944482672,4.944482672,0,none,no
D,PCMA,Pour,STSE,590,0,590,no,none,Pour,590,2.770852012,2.770852012,0,none,no
D,PCMA,Spread,HHR.TSC,1360,0,1360,no,none,Spread,1360,3.133538908,3.133538908,0,none,no
D,PCMA,Spread,SP.MSC,200,0,200,no,none,Spread,200,2.301029996,2.301029996,0,none,no
D,PCMA,Spread,SP.TSC,88000,0,88000,no,none,Spread,88000,4.944482672,4.944482672,0,none,no
D,PCMA,Spread,STSE,400,0,400,no,none,Spread,400,2.602059991,2.602059991,0,none,no
D,PCMA,SpreadwOverlay,HHR.TSC,1720,0,1720,no,none,SpreadwOverlay,1720,3.235528447,3.235528447,0,none,no
D,PCMA,SpreadwOverlay,SP.MSC,120,0,120,no,none,SpreadwOverlay,120,2.079181246,2.079181246,0,none,no
D,PCMA,SpreadwOverlay,SP.TSC,96000,0,96000,no,none,SpreadwOverlay,96000,4.982271233,4.982271233,0,none,no
D,PCMA,SpreadwOverlay,STSE,740,0,740,no,none,SpreadwOverlay,740,2.86923172,2.86923172,0,none,no
D,SMA,Pour,HHR.TSC,8566.666667,0,NA,no,none,Pour,8566.666667,3.932811869,NA,NA,NA,NA
D,SMA,Pour,SP.MSC,160,0.833333333,NA,no,no,Pour,160,2.204119983,NA,NA,NA,NA
D,SMA,Pour,SP.TSC,53521.11111,28.05555556,NA,yes,yes,Pour,53521.11111,4.728525121,NA,NA,NA,NA
D,SMA,Pour,STSE,410,0,NA,no,none,Pour,410,2.612783857,NA,NA,NA,NA
D,SMA,Spread,HHR.TSC,9153.333333,5.555555556,NA,no,no,Spread,9153.333333,3.961579278,NA,NA,NA,NA
D,SMA,Spread,SP.MSC,120,10.55555556,NA,no,no,Spread,120,2.079181246,NA,NA,NA,NA
D,SMA,Spread,SP.TSC,60200,13.61111111,NA,no,no,Spread,60200,4.779596491,NA,NA,NA,NA
